games,wins,ties,losses,points_for,points_against,point_diff,points_for_pg,points_against_pg,win_pct,team,index_value_offense_overall,index_value_passing_offense,index_value_rushing_offense,index_value_pass_protection,index_value_defense_overall,index_value_passing_defense,index_value_rushing_defense,index_value_pass_rush,index_value_special_teams,rank_of_league_offense_overall,rank_of_league_passing_offense,rank_of_league_rushing_offense,rank_of_league_pass_protection,rank_of_league_defense_overall,rank_of_league_passing_defense,rank_of_league_rushing_defense,rank_of_league_pass_rush,rank_of_league_special_teams,top_strength_domain,top_strength_index,top_weakness_domain,top_weakness_index,overall_confidence,season,through_week
1,1,0,0,26,14,12,26.0,14.0,1.0,ARI,0.21911475409705958,0.14268173404290924,0.013798094219489368,0.14909362944864313,0.09460501397052719,0.11955510316193621,0.14902262368725536,0.016835086075705274,-0.23077948775225995,9,8,18,7,10,7,7,13,30,offense_overall,0.21911475409705958,special_teams,-0.23077948775225995,low,2026,1
1,0,0,1,13,20,-7,13.0,20.0,0.0,ATL,-0.4057556903814484,-0.2726572598018287,0.024590603374144475,-0.3389806889953599,0.19550923159087888,0.20782314362285176,0.17641148043065694,-0.059861165099445654,-0.12946716217687443,32,31,16,29,3,3,4,21,28,passing_defense,0.20782314362285176,offense_overall,-0.4057556903814484,low,2026,1
1,1,0,0,41,23,18,41.0,23.0,1.0,BAL,0.2776071881695458,0.23870590535039007,0.1081427940437,0.06297053862398147,0.1327992312262303,0.21329475295442826,-0.26368536216516764,0.13150281436568192,0.16422988264927835,5,5,7,13,5,2,32,7,6,offense_overall,0.2776071881695458,rushing_defense,-0.26368536216516764,low,2026,1
1,1,0,0,36,31,5,36.0,31.0,1.0,BUF,0.2285976989408153,0.2521895326724561,-0.15557326576469582,0.09856206845026504,-0.08330263088369559,-0.06155413203891706,-0.043673499791993066,0.10299992190883081,0.16101814606784595,8,4,25,10,22,20,21,10,7,passing_offense,0.2521895326724561,rushing_offense,-0.15557326576469582,low,2026,1
1,0,0,1,37,59,-22,37.0,59.0,0.0,CAR,0.20744366463999084,0.15406264892355115,0.04409291995288,0.10760576177563334,-0.27576701811117604,-0.31886715749823,-0.08734433294160278,-0.11907885530992046,-0.05493048846229468,10,7,15,8,30,30,24,26,24,offense_overall,0.20744366463999084,passing_defense,-0.31886715749823,low,2026,1
1,1,0,0,59,37,22,59.0,37.0,1.0,CHI,0.49076808390910864,0.33410848799361265,0.08683758152937651,0.1528859823956456,-0.11742564673437537,-0.11734984337539353,-0.012301433777097118,-0.08908836696049405,0.1875194528578589,3,2,11,6,24,24,17,24,5,offense_overall,0.49076808390910864,defense_overall,-0.11742564673437537,low,2026,1
1,1,0,0,33,27,6,33.0,27.0,1.0,CIN,0.11946025763449401,0.0367221510838392,0.05041004622026321,0.08734002447801054,-0.02450464318273619,0.059309230983605805,-0.06812202785590872,0.1529096693622734,0.2141367317991869,12,12,13,11,20,11,22,6,3,special_teams,0.2141367317991869,rushing_defense,-0.06812202785590872,low,2026,1
1,0,0,1,10,34,-24,10.0,34.0,0.0,CLE,-0.1285159473223674,-0.03863229577339188,0.005521278549843122,-0.5031544164610081,-0.30741710550829443,-0.46829103214063134,-0.14538225052535747,-0.09152859868438806,0.2801368294688571,22,18,19,32,32,32,29,25,1,special_teams,0.2801368294688571,pass_protection,-0.5031544164610081,low,2026,1
1,0,0,1,20,28,-8,20.0,28.0,0.0,DAL,0.23300718656160035,0.011927441486279278,0.00386732542775121,0.3011265571097305,-0.289851357637639,-0.41895035981482887,-0.11559912606018646,-0.005821651640979145,-0.1110277802222429,6,15,20,4,31,31,27,15,27,pass_protection,0.3011265571097305,passing_defense,-0.41895035981482887,low,2026,1
1,0,0,1,10,31,-21,10.0,31.0,0.0,DEN,-0.3733702224418072,-0.27657481751080054,-0.19115040281986806,-0.17318797726714014,0.029611964388021786,0.03001674240764884,-0.14084424858888048,-0.005821651640979145,0.12564261253047548,31,32,29,27,15,15,28,15,12,special_teams,0.12564261253047548,offense_overall,-0.3733702224418072,low,2026,1
1,1,0,0,31,30,1,31.0,30.0,1.0,DET,0.02311465324671465,-0.09956004333207562,0.10282028166117638,0.03917921481869291,-0.007162122633749103,-0.0019241704694894137,0.07010944733852593,0.041618139896560304,-0.03726050987217654,14,24,8,14,19,18,12,12,23,rushing_offense,0.10282028166117638,passing_offense,-0.09956004333207562,low,2026,1
1,0,0,1,22,39,-17,22.0,39.0,0.0,GB,-0.12740736255082252,0.019786933240069426,-0.22137559699942694,-0.36825355227128886,0.11787487323139127,0.0778312072258051,0.12566300338128109,0.12217801100830829,0.10825148335799598,21,14,30,30,7,8,8,8,14,rushing_defense,0.12566300338128109,pass_protection,-0.36825355227128886,low,2026,1
1,0,0,1,31,36,-5,31.0,36.0,0.0,HOU,0.16568476006083055,0.07903743955466673,0.062239006125114446,-0.1324999532552947,-0.1628765616554778,-0.17571477444078223,0.11012692407744508,-0.07318079177148742,0.12051186216059186,11,11,12,23,27,27,10,22,13,offense_overall,0.16568476006083055,passing_defense,-0.17571477444078223,low,2026,1
1,0,0,1,23,41,-18,23.0,41.0,0.0,IND,-0.19768393213377022,-0.22118705222201865,0.1499123162119113,-0.1808190687743595,-0.16617638531830367,-0.2212712438779626,-0.1056950637721209,-0.043109646694583066,0.1339280485781929,26,30,2,28,28,29,26,19,10,rushing_offense,0.1499123162119113,passing_defense,-0.2212712438779626,low,2026,1
